,genres,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,movie_title,plot_keywords,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,language,country,title_year,imdb_score
945,Comedy|Family,Comedy,Family,,,,,,,Daddy's Home,biological father|dad|drinking|product placement|wilhelm scream,biological father,dad,drinking,product placement,wilhelm scream,English,USA,2015,6.1
946,Adventure|Comedy|Drama|Fantasy|Musical,Adventure,Comedy,Drama,Fantasy,Musical,,,,Into the Woods,based on stage musical|cinderella|little red riding hood|singing|witch,based on stage musical,cinderella,little red riding hood,singing,witch,English,USA,2014,6
947,Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,Inside Man,bank|detective|negotiation|police|robber,bank,detective,negotiation,police,robber,English,USA,2006,7.6
948,Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,Payback,anti hero|criminal|greed|prostitute|tough guy,anti hero,criminal,greed,prostitute,tough guy,English,USA,1999,7.1
949,Action|Adventure|Mystery|Sci-Fi,Action,Adventure,Mystery,Sci-Fi,,,,,Congo,captain|congo|expedition|laser|lost city,captain,congo,expedition,laser,lost city,English,USA,1995,5
950,Comedy|Drama|Family,Comedy,Drama,Family,,,,,,We Bought a Zoo,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,blocked road,father son relationship,love at first sight,teenage boy,zookeeper,English,USA,2011,7.1
951,Drama|Mystery|Sci-Fi|Thriller,Drama,Mystery,Sci-Fi,Thriller,,,,,Knowing,disaster|end of the world|number|student|time capsule,disaster,end of the world,number,student,time capsule,English,USA,2009,6.2
952,Comedy|Romance,Comedy,Romance,,,,,,,Failure to Launch,friend|intervention|moving|secret|slacker,friend,intervention,moving,secret,slacker,English,USA,2006,5.6
953,Horror|Mystery,Horror,Mystery,,,,,,,The Ring Two,cartoon on tv|foreign language adaptation|second part|videotape|writer,cartoon on tv,foreign language adaptation,second part,videotape,writer,English,USA,2005,5.4
954,Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,"Crazy, Stupid, Love.",bar|divorce|friend|girl|male objectification,bar,divorce,friend,girl,male objectification,English,USA,2011,7.4
955,Animation|Comedy|Family|Fantasy,Animation,Comedy,Family,Fantasy,,,,,Garfield,cat|dog|first part|lasagna|veterinarian,cat,dog,first part,lasagna,veterinarian,English,USA,2004,5
956,Comedy|Family,Comedy,Family,,,,,,,Christmas with the Kranks,act of kindness|christmas|christmas eve|neighbor|vacation,act of kindness,christmas,christmas eve,neighbor,vacation,English,USA,2004,5.2
957,Biography|Drama|Sport,Biography,Drama,Sport,,,,,,Moneyball,baseball|meeting|statistics|strategy|voice over,baseball,meeting,statistics,strategy,voice over,English,USA,2011,7.6
958,Action|Drama|Thriller,Action,Drama,Thriller,,,,,,Outbreak,disease|epidemic|monkey|quarantine|virus,disease,epidemic,monkey,quarantine,virus,English,USA,1995,6.6
959,Action|Mystery|Thriller,Action,Mystery,Thriller,,,,,,Non-Stop,air marshal|death|passenger|terrorist|transatlantic flight,air marshal,death,passenger,terrorist,transatlantic flight,English,UK,2014,7
960,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Action,Adventure,Family,Fantasy,Sci-Fi,Thriller,,,Race to Witch Mountain,alien|military|mountain|spacecraft|ufo,alien,military,mountain,spacecraft,ufo,English,USA,2009,5.7
961,Action|Drama|Thriller,Action,Drama,Thriller,,,,,,V for Vendetta,dystopia|freedom|government|revolution|terrorist,dystopia,freedom,government,revolution,terrorist,English,USA,2005,8.2
962,Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,Shanghai Knights,1880s|arrow|imperial seal|murder|revenge,1880s,arrow,imperial seal,murder,revenge,English,USA,2003,6.2
963,Crime|Drama,Crime,Drama,,,,,,,Unforgotten            ,,,,,,,English,UK,NA,7.9
964,Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,Curious George,hat|monkey|museum|shrine|yellow,hat,monkey,museum,shrine,yellow,English,USA,2006,6.6
965,Adventure|Comedy|Family|Fantasy|Romance|Sport,Adventure,Comedy,Family,Fantasy,Romance,Sport,,,Herbie Fully Loaded,automobile racing|car|mechanic|nascar|street racing,automobile racing,car,mechanic,nascar,street racing,English,USA,2005,4.7
966,Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,Don't Say a Word,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,mental institution,post traumatic stress,psychiatrist,vomiting,voyeur,English,USA,2001,6.3
967,Action|Fantasy|Horror,Action,Fantasy,Horror,,,,,,Hansel & Gretel: Witch Hunters,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,bounty hunter,brother sister team,death of loved one,hansel and gretel,supernatural power,English,Germany,2013,6.1
968,Drama|Thriller,Drama,Thriller,,,,,,,Unfaithful,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,erotic thriller,infidelity,marital infidelity,unfaithfulness,wife's lover murdered by husband,English,USA,2002,6.7
969,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,I Am Number Four,based on young adult novel|good versus evil|guardian|human alien|ohio,based on young adult novel,good versus evil,guardian,human alien,ohio,English,USA,2011,6.1
970,Drama|Thriller,Drama,Thriller,,,,,,,Syriana,cia|hezbollah|lebanon|oil|prince,cia,hezbollah,lebanon,oil,prince,English,USA,2005,7
971,Action|Drama|Thriller|War,Action,Drama,Thriller,War,,,,,13 Hours,based on true story|cia agent|libya|mercenary|u.s. ambassador,based on true story,cia agent,libya,mercenary,u.s. ambassador,English,USA,2016,7.4
972,Adventure|Animation|Comedy|Family|Fantasy|Romance,Adventure,Animation,Comedy,Family,Fantasy,Romance,,,The Book of Life,afterlife|bullfight|bullfighting|love triangle|mexico,afterlife,bullfight,bullfighting,love triangle,mexico,English,USA,2014,7.3
973,Crime|Thriller,Crime,Thriller,,,,,,,Firewall,architect|bank|cayman islands|meeting|murder,architect,bank,cayman islands,meeting,murder,English,USA,2006,5.8
974,Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,Absolute Power,death|death of wife|murder|thief|violence,death,death of wife,murder,thief,violence,English,USA,1997,6.7
975,Action|Drama|War,Action,Drama,War,,,,,,G.I. Jane,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,feminism,hit in the crotch,kicked in the crotch,kicked in the testicles,navy,English,USA,1997,5.8
976,Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,The Game,birthday|falling through a glass roof|game|hitchcockian|suicide,birthday,falling through a glass roof,game,hitchcockian,suicide,English,USA,1997,7.8
977,Adventure|Horror|Mystery,Adventure,Horror,Mystery,,,,,,Silent Hill,gothic|police|police officer|silent hill|sleepwalking,gothic,police,police officer,silent hill,sleepwalking,English,Canada,2006,6.6
978,Comedy|Sport,Comedy,Sport,,,,,,,The Replacements,coach|football player|misfits|strike|sumo wrestler,coach,football player,misfits,strike,sumo wrestler,English,USA,2000,6.5
979,Comedy,Comedy,,,,,,,,American Reunion,bikini|female female kiss|high school reunion|outdoor sex|upskirt,bikini,female female kiss,high school reunion,outdoor sex,upskirt,English,USA,2012,6.7
980,Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,The Negotiator,hostage|innocence|murder|negotiator|police,hostage,innocence,murder,negotiator,police,English,Germany,1998,7.3
981,Action|Thriller,Action,Thriller,,,,,,,Into the Storm,danger|graduation|storm|teenage boy|tornado,danger,graduation,storm,teenage boy,tornado,English,USA,2014,5.8
982,Action|Comedy|Crime|Thriller,Action,Comedy,Crime,Thriller,,,,,Beverly Hills Cop III,california|counterfeit|counterfeit money|money|theme park,california,counterfeit,counterfeit money,money,theme park,English,USA,1994,5.5
983,Comedy|Fantasy|Horror,Comedy,Fantasy,Horror,,,,,,Gremlins 2: The New Batch,gremlin|horror host|hulk hogan|monster|skyscraper,gremlin,horror host,hulk hogan,monster,skyscraper,English,USA,1990,6.3
984,Crime|Drama,Crime,Drama,,,,,,,The Judge,courtroom|dysfunctional family|indiana|lawyer|trial,courtroom,dysfunctional family,indiana,lawyer,trial,English,USA,2014,7.4
985,Action|Thriller,Action,Thriller,,,,,,,The Peacemaker,nuclear explosion|nuclear weapon|russia|train|train crash,nuclear explosion,nuclear weapon,russia,train,train crash,English,USA,1997,5.9
986,Action|Horror|Sci-Fi|Thriller,Action,Horror,Sci-Fi,Thriller,,,,,Resident Evil: Apocalypse,cover up|monster|strong female character|strong female lead|zombie apocalypse,cover up,monster,strong female character,strong female lead,zombie apocalypse,English,Germany,2004,6.2
987,Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,Bridget Jones: The Edge of Reason,american actress playing british character|intern|prison|six word title|thailand,american actress playing british character,intern,prison,six word title,thailand,English,UK,2004,5.9
988,Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,Out of Time,cancer|florida|insurance|life insurance policy|small town,cancer,florida,insurance,life insurance policy,small town,English,USA,2003,6.5
989,Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,On Deadly Ground,environmental|murder|oil|oil spill|tribe,environmental,murder,oil,oil spill,tribe,English,USA,1994,4.4
990,Action|Adventure|Family|Fantasy,Action,Adventure,Family,Fantasy,,,,,The Adventures of Sharkboy and Lavagirl 3-D,boy|bully|dream|dream sequence|planet,boy,bully,dream,dream sequence,planet,English,USA,2005,3.5
991,Adventure|Drama|Thriller,Adventure,Drama,Thriller,,,,,,The Beach,love|map|paradise|thailand|travel,love,map,paradise,thailand,travel,English,USA,2000,6.6
992,Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,Raising Helen,fashion show|female protagonist|love|pastor|queens new york city,fashion show,female protagonist,love,pastor,queens new york city,English,USA,2004,6
993,Action|Crime|Thriller,Action,Crime,Thriller,,,,,,Ninja Assassin,critically bashed|kung fu|martial artist|martial arts|ninja,critically bashed,kung fu,martial artist,martial arts,ninja,English,USA,2009,6.4
994,Drama|Romance|Sport,Drama,Romance,Sport,,,,,,For Love of the Game,baseball|baseball movie|detroit tigers|perfect game|pitcher,baseball,baseball movie,detroit tigers,perfect game,pitcher,English,USA,1999,6.5
995,Crime|Drama|Mystery,Crime,Drama,Mystery,,,,,,A Touch of Frost            ,cult tv|death|detective inspector|four word title|internal affairs,cult tv,death,detective inspector,four word title,internal affairs,English,UK,NA,7.8
996,Comedy|Crime|Drama|Thriller,Comedy,Crime,Drama,Thriller,,,,,Striptease,bouncer|breasts|congressman|private dancer|stripper,bouncer,breasts,congressman,private dancer,stripper,English,USA,1996,4.3
997,Comedy|Family,Comedy,Family,,,,,,,Marmaduke,dog|great dane|rivalry|talking animal|talking cat,dog,great dane,rivalry,talking animal,talking cat,English,USA,2010,4.2
998,Drama|Fantasy,Drama,Fantasy,,,,,,,Hereafter,death|france|near death experience|tsunami|twin brother,death,france,near death experience,tsunami,twin brother,English,USA,2010,6.5
999,Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,Murder by Numbers,disposing of a dead body|high school student|murder|sociopath|teenage boy,disposing of a dead body,high school student,murder,sociopath,teenage boy,English,USA,2002,6.1
1000,Action|Crime|Thriller,Action,Crime,Thriller,,,,,,Assassins,assassin|floppy disk|modem|rival|russian,assassin,floppy disk,modem,rival,russian,English,France,1995,6.3
1001,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,Hannibal Rising,aunt|cannibalism|faked death|medical student|revenge,aunt,cannibalism,faked death,medical student,revenge,English,UK,2007,6.2
1002,Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,The Story of Us,four word title|husband wife relationship|male rear nudity|marriage|summer camp,four word title,husband wife relationship,male rear nudity,marriage,summer camp,English,USA,1999,5.9
1003,Action|Adventure|Romance|Sci-Fi|Thriller,Action,Adventure,Romance,Sci-Fi,Thriller,,,,The Host,alien|alien creature|body snatching|desert|parasite,alien,alien creature,body snatching,desert,parasite,English,USA,2013,5.9
1004,Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,Basic,2000s|army|military crime|necklace yanked off|panama,2000s,army,military crime,necklace yanked off,panama,English,Germany,2003,6.5
1005,Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,Blood Work,boat|heart transplant|murder|serial killer|sister,boat,heart transplant,murder,serial killer,sister,English,USA,2002,6.4
1006,Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,The International,bank|chase|district attorney|interpol|murder,bank,chase,district attorney,interpol,murder,English,USA,2009,6.5
1007,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Escape from L.A.,escape|island|los angeles california|machismo|president's daughter,escape,island,los angeles california,machismo,president's daughter,English,USA,1996,5.7
1008,Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,Twisted            ,,,,,,,English,USA,NA,7.5
1009,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi,,The Iron Giant,boy|friend|government agent|maine|robot,boy,friend,government agent,maine,robot,English,USA,1999,8
1010,Adventure|Comedy|Drama,Adventure,Comedy,Drama,,,,,,The Life Aquatic with Steve Zissou,expedition|oceanographer|sea|shark|team,expedition,oceanographer,sea,shark,team,English,USA,2004,7.3
1011,Action|Biography|Drama|History|War,Action,Biography,Drama,History,War,,,,Free State of Jones,american civil war|civil war|u.s. civil war,american civil war,civil war,u.s. civil war,,,English,USA,2016,6.7
1012,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,The Life of David Gale,activist|death|death row|murder|texas,activist,death,death row,murder,texas,English,USA,2003,7.5
1013,Action|Comedy,Action,Comedy,,,,,,,Man of the House,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,cheerleader,cheerleading movie,neo noir,neo western,texas ranger,English,USA,2005,5.4
1014,Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,Run All Night,death|drug dealer|limousine|limousine driver|one night,death,drug dealer,limousine,limousine driver,one night,English,USA,2015,6.6
1015,Crime|Mystery|Thriller,Crime,Mystery,Thriller,,,,,,Eastern Promises,male pubic hair|pubic hair|russian|sex scene|turkish bath,male pubic hair,pubic hair,russian,sex scene,turkish bath,English,USA,2007,7.7
1016,Action|Adventure|Crime|Thriller,Action,Adventure,Crime,Thriller,,,,,Into the Blue,bahamas|blood splatter|cocaine|hairy chest|shark,bahamas,blood splatter,cocaine,hairy chest,shark,English,USA,2005,5.8
1017,Adventure|Biography|Drama|History|War,Adventure,Biography,Drama,History,War,,,,The Messenger: The Story of Joan of Arc,cathedral|dauphin|france|trial|wartime rape,cathedral,dauphin,france,trial,wartime rape,English,France,1999,6.4
1018,Adventure|Comedy|Fantasy,Adventure,Comedy,Fantasy,,,,,,Your Highness,knight|prince|quest|rescue|thong bikini,knight,prince,quest,rescue,thong bikini,English,USA,2011,5.6
1019,Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,Dream House,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,closet,father daughter relationship,psychiatric hospital,real life sisters playing sisters,train,English,USA,2011,6
1020,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,Mad City,hostage|museum|natural history museum|news reporter|reporter,hostage,museum,natural history museum,news reporter,reporter,English,USA,1997,6.2
1021,Adventure|Comedy|Crime|Drama|Family,Adventure,Comedy,Crime,Drama,Family,,,,Baby's Day Out,baby|baby boy|kidnapping|kidnapping a child|taxi,baby,baby boy,kidnapping,kidnapping a child,taxi,English,USA,1994,5.9
1022,Drama|Romance,Drama,Romance,,,,,,,The Scarlet Letter,17th century|adultery|letter|pubic hair|swimming,17th century,adultery,letter,pubic hair,swimming,English,USA,1995,5.1
1023,Biography|Drama|Thriller,Biography,Drama,Thriller,,,,,,Fair Game,bush administration|cia|interview|iraq|new york times,bush administration,cia,interview,iraq,new york times,English,USA,2010,6.8
1024,Action|Drama|Sci-Fi,Action,Drama,Sci-Fi,,,,,,Defiance            ,alien|alien invasion|planet invasion|post apocalypse|year 2046,alien,alien invasion,planet invasion,post apocalypse,year 2046,English,USA,NA,7
1025,Action|Biography|Crime|Drama|Thriller,Action,Biography,Crime,Drama,Thriller,,,,Domino,bounty hunter|fbi|female bounty hunter|female nudity|reality show,bounty hunter,fbi,female bounty hunter,female nudity,reality show,English,France,2005,6
1026,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,Jade,blackmail|investigation|murder|panties pulled down|prostitution,blackmail,investigation,murder,panties pulled down,prostitution,English,USA,1995,5.1
1027,Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,Gamer,battle|convict|death|mind control|role playing,battle,convict,death,mind control,role playing,English,USA,2009,5.8
1028,Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,Beautiful Creatures,dream|escape|magic|magic spell|small town,dream,escape,magic,magic spell,small town,English,USA,2013,6.2
1029,Comedy|Crime|Drama|Thriller,Comedy,Crime,Drama,Thriller,,,,,Death to Smoochy,children|children's tv show|money|revenge|scandal,children,children's tv show,money,revenge,scandal,English,UK,2002,6.4
1030,Comedy,Comedy,,,,,,,,Zoolander 2,chosen one|fashion|fashion model|model|retired,chosen one,fashion,fashion model,model,retired,English,USA,2016,4.8
1031,Comedy|Crime,Comedy,Crime,,,,,,,The Big Bounce,breasts|consensual sex|female nudity|judge|surfer,breasts,consensual sex,female nudity,judge,surfer,English,USA,2004,4.9
1032,Comedy|Sci-Fi,Comedy,Sci-Fi,,,,,,,What Planet Are You From?,alien|baby|banker|pregnancy|question in title,alien,baby,banker,pregnancy,question in title,English,USA,2000,5.6
1033,Action|Fantasy|Thriller,Action,Fantasy,Thriller,,,,,,Drive Angry,baby|cult|oklahoma|sex scene|waitress,baby,cult,oklahoma,sex scene,waitress,English,USA,2011,5.5
1034,Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,Street Fighter: The Legend of Chun-Li,chun li|crime fighter|gangster|mobster|rescue,chun li,crime fighter,gangster,mobster,rescue,English,Canada,2009,3.7
1035,Action|Sci-Fi|Thriller,Action,Sci-Fi,Thriller,,,,,,The One,fight|multiverse|police|police officer|prison,fight,multiverse,police,police officer,prison,English,USA,2001,5.9
1036,Drama|Romance|Sci-Fi,Drama,Romance,Sci-Fi,,,,,,Outlander            ,based on novel|clan|scotland|scottish highlands|year 1743,based on novel,clan,scotland,scottish highlands,year 1743,English,USA,NA,8.5
1037,Action|Adventure|Comedy|Crime|Music|Mystery,Action,Adventure,Comedy,Crime,Music,Mystery,,,The Adventures of Ford Fairlane,detective|groupie|murder|music industry|rock n roll,detective,groupie,murder,music industry,rock n roll,English,USA,1990,6.3
1038,Comedy|Drama|Music,Comedy,Drama,Music,,,,,,Pirate Radio,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,inspired by radio program,inspired by true events,pirate broadcasting,pirate radio,pirate radio station,English,UK,2009,7.4
1039,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,Traffic,cocaine|drug smuggling|interlinked stories|judge|mexico,cocaine,drug smuggling,interlinked stories,judge,mexico,English,USA,2000,7.6
1040,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Indiana Jones and the Last Crusade,castle|diary|holy grail|map|nazi,castle,diary,holy grail,map,nazi,English,USA,1989,8.3
1041,Drama|Romance,Drama,Romance,,,,,,,Anna Karenina,dance|infidelity|marriage|russia|russian,dance,infidelity,marriage,russia,russian,English,UK,2012,6.6
1042,Action|Crime|Drama|Sci-Fi|Thriller,Action,Crime,Drama,Sci-Fi,Thriller,,,,Chappie,artificial intelligence|consciousness|future|mind uploading|robot,artificial intelligence,consciousness,future,mind uploading,robot,English,USA,2015,6.9
1043,Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,The Bone Collector,new york city|police|quadriplegic|serial killer|suicide,new york city,police,quadriplegic,serial killer,suicide,English,USA,1999,6.7
1044,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,Panic Room,brownstone|burglar|money|panic|panic room,brownstone,burglar,money,panic,panic room,English,USA,2002,6.8
1045,Horror|Thriller,Horror,Thriller,,,,,,,The Tooth Fairy,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,bare breasts,genital dismemberment,mulching someone,tooth fairy,woodchipper,English,USA,2006,4.6
1046,Action|Adventure|Comedy|Drama|War,Action,Adventure,Comedy,Drama,War,,,,Three Kings,gold|gulf war|iraq|kuwait|map,gold,gulf war,iraq,kuwait,map,English,USA,1999,7.1
1047,Crime|Drama|Thriller,Crime,Drama,Thriller,,,,,,Child 44,child murderer|murder|sex|soviet union|woman slaps a man,child murderer,murder,sex,soviet union,woman slaps a man,English,Czech Republic,2015,6.4
1048,Adventure|Comedy,Adventure,Comedy,,,,,,,Rat Race,casino|locker|money|museum|race,casino,locker,money,museum,race,English,Canada,2001,6.4
1049,Drama|Mystery|Sci-Fi,Drama,Mystery,Sci-Fi,,,,,,K-PAX,extraterrestrial|hospital|patient|planet|science,extraterrestrial,hospital,patient,planet,science,English,USA,2001,7.4
1050,Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,Kate & Leopold,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,bridge,brooklyn bridge,falling down an elevator shaft,time travel,time travel romance,English,USA,2001,6.4
1051,Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,Bedazzled,contract|devil|dream|soul|wish,contract,devil,dream,soul,wish,English,USA,2000,6
1052,Crime|Drama|Music,Crime,Drama,Music,,,,,,The Cotton Club,brothers hugging|jazz|jealousy|nudity|parole violation,brothers hugging,jazz,jealousy,nudity,parole violation,English,USA,1984,6.5
1053,Adventure|Crime|Drama|Western,Adventure,Crime,Drama,Western,,,,,3:10 to Yuma,outlaw|rancher|small western town|stagecoach|train,outlaw,rancher,small western town,stagecoach,train,English,USA,2007,7.8
1054,Action|Thriller,Action,Thriller,,,,,,,Taken 3,betrayal|death|final showdown|murder|on the run,betrayal,death,final showdown,murder,on the run,English,France,2014,6
1055,Crime|Drama|Romance|Thriller,Crime,Drama,Romance,Thriller,,,,,Out of Sight,heist|neo noir|one last job|opposites attract|u.s. marshal,heist,neo noir,one last job,opposites attract,u.s. marshal,English,USA,1998,7
1056,Comedy|Drama|Thriller,Comedy,Drama,Thriller,,,,,,The Cable Guy,cable guy|foreplay|friend|kissing|television,cable guy,foreplay,friend,kissing,television,English,USA,1996,6
1057,Drama|Romance|War,Drama,Romance,War,,,,,,Earth,friend|hindu|india|muslim|sikh,friend,hindu,india,muslim,sikh,Hindi,India,1998,7.8
1058,Action|Comedy|Crime|Music|Romance|Thriller,Action,Comedy,Crime,Music,Romance,Thriller,,,Dick Tracy,crime boss|detective|dick tracy|gangster|orphan,crime boss,detective,dick tracy,gangster,orphan,English,USA,1990,6.1
1059,Crime|Romance|Thriller,Crime,Romance,Thriller,,,,,,The Thomas Crown Affair,art|insurance investigator|martinique|painting|trust,art,insurance investigator,martinique,painting,trust,English,USA,1999,6.8
1060,Biography|Comedy|Drama,Biography,Comedy,Drama,,,,,,Riding in Cars with Boys,boy|college|heroin|working class|writer,boy,college,heroin,working class,writer,English,USA,2001,6.4
1061,Action|Adventure|Drama,Action,Adventure,Drama,,,,,,First Blood,1980s|colonel|deputy|rambo|sheriff,1980s,colonel,deputy,rambo,sheriff,English,USA,1982,7.7
1062,Drama|Mystery|Sci-Fi,Drama,Mystery,Sci-Fi,,,,,,Solaris,hallucination|ocean|psychologist|scientist|space station,hallucination,ocean,psychologist,scientist,space station,Russian,Soviet Union,1972,8.1
1063,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,Happily N'Ever After,apostrophe in title|cinderella|first of series|punctuation in title|three word title,apostrophe in title,cinderella,first of series,punctuation in title,three word title,English,USA,2006,4.5
1064,Drama|Horror|Romance|Thriller,Drama,Horror,Romance,Thriller,,,,,Mary Reilly,19th century|butler|housemaid|laboratory|servant,19th century,butler,housemaid,laboratory,servant,English,USA,1996,5.8
1065,Comedy|Romance,Comedy,Romance,,,,,,,My Best Friend's Wedding,best friend|chick flick|male female friendship|promise|wedding,best friend,chick flick,male female friendship,promise,wedding,English,USA,1997,6.3
1066,Comedy|Romance,Comedy,Romance,,,,,,,America's Sweethearts,actor|love|movie star|press|publicist,actor,love,movie star,press,publicist,English,USA,2001,5.7
1067,Drama|Mystery|Thriller,Drama,Mystery,Thriller,,,,,,Insomnia,detective|insomnia|murder|partner|police,detective,insomnia,murder,partner,police,English,USA,2002,7.2
1068,Action|Adventure|Drama|Sci-Fi|Thriller,Action,Adventure,Drama,Sci-Fi,Thriller,,,,Star Trek: First Contact,21st century|borg|borg sphere|captain|sphere,21st century,borg,borg sphere,captain,sphere,English,USA,1996,7.6
1069,Action|Drama|Fantasy|Thriller|Western,Action,Drama,Fantasy,Thriller,Western,,,,Jonah Hex,confederate|death|independence day|military|terrorist,confederate,death,independence day,military,terrorist,English,USA,2010,4.7
1070,Action|Drama|Mystery|Thriller|War,Action,Drama,Mystery,Thriller,War,,,,Courage Under Fire,bravery|honor|medal of honor|military life|unreliable flashback,bravery,honor,medal of honor,military life,unreliable flashback,English,USA,1996,6.6
1071,Comedy|Fantasy|Romance,Comedy,Fantasy,Romance,,,,,,Liar Liar,birthday|birthday wish|father disappoints child|lie|workaholic,birthday,birthday wish,father disappoints child,lie,workaholic,English,USA,1997,6.8
1072,Biography|Crime|Drama|Thriller,Biography,Crime,Drama,Thriller,,,,,The Infiltrator,,,,,,,English,UK,2016,7.3
1073,Drama|History|War,Drama,History,War,,,,,,Inchon,1950s|douglas macarthur|general|inchon|invasion,1950s,douglas macarthur,general,inchon,invasion,English,South Korea,1981,2.7
1074,Comedy|Family|Fantasy,Comedy,Family,Fantasy,,,,,,The Flintstones,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,1000000 b.c.,box office hit,lawn mowing,product placement,stone age,English,USA,1994,4.8
1075,Action|Crime|Thriller,Action,Crime,Thriller,,,,,,Taken 2,albanian|revenge|revenge motive|teenage daughter|vacation,albanian,revenge,revenge motive,teenage daughter,vacation,English,France,2012,6.3
1076,Comedy,Comedy,,,,,,,,Scary Movie 3,crop circle|farm|orchestral music score|reference to michael jackson|videotape,crop circle,farm,orchestral music score,reference to michael jackson,videotape,English,USA,2003,5.5
1077,Action|Comedy|Crime|Romance,Action,Comedy,Crime,Romance,,,,,Miss Congeniality,beauty pageant|fbi|female agent|pageant|undercover,beauty pageant,fbi,female agent,pageant,undercover,English,USA,2000,6.2
1078,Action|Adventure|Family|Fantasy|Sci-Fi,Action,Adventure,Family,Fantasy,Sci-Fi,,,,Journey to the Center of the Earth,cave|lost world|missing brother|mountain|venus flytrap,cave,lost world,missing brother,mountain,venus flytrap,English,USA,2008,5.8
1079,Comedy|Family|Romance,Comedy,Family,Romance,,,,,,The Princess Diaries 2: Royal Engagement,coronation|horse|princess|queen|side saddle,coronation,horse,princess,queen,side saddle,English,USA,2004,5.7
1080,Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,The Pelican Brief,college professor|fbi|president|professor|supreme court,college professor,fbi,president,professor,supreme court,English,USA,1993,6.5
1081,Crime|Drama|Mystery|Thriller,Crime,Drama,Mystery,Thriller,,,,,The Client,boy|brother|lawyer|mafia|senator,boy,brother,lawyer,mafia,senator,English,USA,1994,6.7
1082,Adventure|Comedy|Drama,Adventure,Comedy,Drama,,,,,,The Bucket List,billionaire|friend|hospital|list|mechanic,billionaire,friend,hospital,list,mechanic,English,USA,2007,7.4
